name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
금오름,0.6739444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,4.4
김경숙해바라기농장,0.7587133333333332,0.43483333333333335,1.1567933333333333,0.43483333333333335,0.43483333333333335,0.43483333333333335,0.43483333333333335,0.43483333333333335,4.3
김녕성세기해변,0.5187590000000001,0.4850000000000001,0.6292182500000001,0.5551250000000001,0.5561603750000002,0.4850000000000001,0.4850000000000001,0.6252087500000001,4.7
김녕사굴,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,3.0
김영갑갤러리두모악,0.5411959999999999,0.5047050000000001,0.6234553333333333,0.505258,0.485,0.5439446666666666,0.485,0.5282086666666667,4.5
너븐숭이4.3기념관,0.26016000000000006,0.501,0.501,0.26064,0.501,0.501,0.501,-0.02690999999999999,5.0
넥슨컴퓨터박물관,0.45166666666666666,1.2326386666666662,0.8654866666666666,0.45166666666666666,0.5058586666666666,0.45166666666666666,0.5485846666666666,0.45166666666666666,4.4
노루생태관찰원,0.44250000000000006,0.44250000000000006,0.44250000000000006,0.7501800000000001,0.9093479999999999,0.44250000000000006,1.2484392,0.7523880000000001,4.4
녹산로유채꽃길,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,3.5
누웨마루거리,0.32500000000000007,0.32500000000000007,0.30462760000000005,0.32500000000000007,0.32500000000000007,0.32500000000000007,0.3057016000000001,0.32500000000000007,3.2
다랑쉬오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
다희연,0.35000000000000003,0.35000000000000003,0.7519064,0.35000000000000003,0.38363780000000003,0.45743180000000006,0.4695362,0.35000000000000003,3.4
대포해안주상절리대,0.8038937793103448,0.5923701517241379,0.6286269103448276,0.9510624000000001,0.6079384137931034,0.6073111862068965,0.596648772413793,0.9749043310344828,4.4
더마파크,0.46,0.84931,0.510202,0.46,0.50863,0.508714,0.867514,0.46,4.5
돌하르방공원,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.4489444444444445,0.631657037037037,0.4489444444444445,4.4
동문재래시장,0.5640909090909091,0.5881007471074379,1.591489309090909,0.580052297520661,0.5802326082644628,0.5791107570247933,0.5945441719008263,0.5834308099173552,4.0
동백동산습지센터,0.46816666666666673,0.46816666666666673,0.46816666666666673,0.46816666666666673,0.46816666666666673,0.46816666666666673,0.46816666666666673,0.46816666666666673,4.7
드라마월드,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,0.3348333333333333,3.3
따라비오름,0.8976409999999999,0.48500000000000004,0.5602985,0.5232140000000001,0.5248474999999999,0.5240330000000001,0.48500000000000004,0.6740404999999999,4.8
라마다프라자제주호텔카지노,0.609925,0.42700000000000005,0.6178,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,4.2
